in,13.9312 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
quirky,0.217675 Text_1.txt Text_2.txt 
reliable,0.43535 Text_1.txt Text_4.txt 
roughly a,0.217675 Text_1.txt 
see,0.217675 Text_1.txt 
similar protective,0.217675 Text_1.txt 
special,0.217675 Text_1.txt Text_2.txt 
studies following,0.217675 Text_1.txt 
system,0.217675 Text_1.txt 
term,0.217675 Text_1.txt 
that include more,0.217675 Text_1.txt 
the following,0.217675 Text_1.txt 
thirty,1.08838 Text_1.txt 
to tempt,0.217675 Text_1.txt 
two thousand and,0.653026 Text_1.txt Text_3.txt Text_5.txt 
vegetables may even,0.217675 Text_1.txt 
weight loss,0.653026 Text_1.txt 
whole fruits,0.43535 Text_1.txt 
years The higher,0.217675 Text_1.txt 
A study,0.653026 Text_1.txt 
Approaches,0.217675 Text_1.txt 
But more,0.217675 Text_1.txt 
Carson,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Data from the,0.217675 Text_1.txt 
Explore the,0.217675 Text_1.txt 
Fortnite hours and,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Fund,0.217675 Text_1.txt 
Hypertension,0.217675 Text_1.txt 
Intake Trial,0.217675 Text_1.txt 
MA suggest,0.217675 Text_1.txt Text_2.txt 
Neolithic,0.217675 Text_1.txt Text_2.txt 
Optimal Macronutrient Intake,0.217675 Text_1.txt 
Research,0.43535 Text_1.txt 
Specific,0.217675 Text_1.txt 
The,3.91815 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
Try cooking new,0.217675 Text_1.txt 
When researchers,0.217675 Text_1.txt 
a diet,0.653026 Text_1.txt 
a lower,1.08838 Text_1.txt Text_2.txt 
a variety of,0.217675 Text_1.txt 
action of,0.217675 Text_1.txt 
against cancer,0.43535 Text_1.txt 
also made important,0.217675 Text_1.txt 
and digestive problems,0.217675 Text_1.txt 
and vegetable,0.653026 Text_1.txt 
army,0.217675 Text_1.txt Text_2.txt Text_3.txt 
attack,0.217675 Text_1.txt 
be involved,0.217675 Text_1.txt 
beneficial,0.43535 Text_1.txt 
body the,0.217675 Text_1.txt 
but,2.82978 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
can help keep,0.217675 Text_1.txt 
cancer Unlike,0.217675 Text_1.txt 
carbohydrates,0.43535 Text_1.txt 
chances of,0.217675 Text_1.txt 
cohort,1.30605 Text_1.txt Text_2.txt 
commit to,0.217675 Text_1.txt Text_2.txt 
consumption,1.30605 Text_1.txt 
coronary,0.43535 Text_1.txt 
cruciferous and yellow,0.217675 Text_1.txt 
day,2.6121 Text_1.txt Text_3.txt Text_5.txt 
decreased risk,0.217675 Text_1.txt 
developing,0.43535 Text_1.txt 
different plant,0.217675 Text_1.txt 
dog and,0.217675 Text_1.txt Text_2.txt 
dont,0.217675 Text_1.txt 
eating,0.43535 Text_1.txt Text_3.txt 
eleven,0.43535 Text_1.txt 
especially cruciferous and,0.217675 Text_1.txt 
examined the effect,0.217675 Text_1.txt 
faces In,0.217675 Text_1.txt Text_2.txt 
few,1.52373 Text_1.txt Text_2.txt Text_4.txt Text_5.txt 
fighting a,0.217675 Text_1.txt Text_2.txt Text_3.txt 
following categories dark,0.217675 Text_1.txt 
for years,0.217675 Text_1.txt 
fourteen years,0.217675 Text_1.txt 
fruit,2.39443 Text_1.txt 
game searching,0.217675 Text_1.txt Text_2.txt Text_3.txt 
give your body,0.217675 Text_1.txt 
hailed,0.217675 Text_2.txt 
have suggested,0.217675 Text_1.txt Text_2.txt 
higher the average,0.217675 Text_1.txt 
hundred,3.70048 Text_1.txt Text_2.txt Text_3.txt 
in check Eating,0.217675 Text_1.txt 
individuals,0.653026 Text_1.txt Text_3.txt 
into,1.7414 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
is that some,0.217675 Text_1.txt 
its creator Epic,0.217675 Text_1.txt Text_2.txt Text_3.txt 
just a few,0.217675 Text_1.txt 
kids to,0.43535 Text_1.txt Text_2.txt Text_3.txt 
less,0.870701 Text_1.txt Text_5.txt 
likely to,0.870701 Text_1.txt Text_2.txt 
looking,1.08838 Text_1.txt Text_2.txt Text_4.txt Text_5.txt 
lowest category,0.217675 Text_1.txt 
matches,0.217675 Text_1.txt Text_2.txt Text_3.txt 
men who,0.217675 Text_1.txt 
more,4.13583 Text_1.txt Text_2.txt Text_3.txt 
name,0.217675 Text_1.txt Text_2.txt 
not only,0.217675 Text_1.txt 
of cancer lower,0.217675 Text_1.txt 
of four percent,0.217675 Text_1.txt 
of ninety,0.217675 Text_1.txt 
of tasty,0.217675 Text_1.txt 
on blood pressure,0.217675 Text_1.txt 
or fewer servings,0.217675 Text_1.txt 
other vegetables,0.217675 Text_1.txt 
parents,1.52373 Text_1.txt Text_3.txt 
per,0.870701 Text_1.txt Text_3.txt 
pets in,0.217675 Text_1.txt Text_2.txt 
plus,0.43535 Text_1.txt Text_4.txt 
problems,0.653026 Text_1.txt Text_3.txt 
protein,0.217675 Text_1.txt 
recent,0.43535 Text_1.txt Text_2.txt Text_3.txt 
reduction,0.43535 Text_1.txt 
research stemming,0.217675 Text_1.txt 
risk of heart,0.653026 Text_1.txt Text_2.txt 
safe,0.217675 Text_1.txt Text_2.txt 
scientific studies,0.217675 Text_1.txt Text_2.txt 
serving,0.43535 Text_1.txt 
shootings that,0.217675 Text_1.txt Text_3.txt 
slowly,0.217675 Text_1.txt 
soups,0.217675 Text_1.txt 
spikes,0.217675 Text_1.txt 
store,0.217675 Text_1.txt 
study to date,0.217675 Text_1.txt 
support,0.43535 Text_1.txt Text_2.txt 
taking,0.217675 Text_1.txt Text_3.txt 
tempt,0.217675 Text_1.txt 
than three,0.217675 Text_1.txt 
that give,0.217675 Text_1.txt 
that restricted,0.217675 Text_1.txt 
the average daily,0.217675 Text_1.txt 
the mix of,0.217675 Text_1.txt 
their juices also,0.217675 Text_1.txt 
three servings,0.43535 Text_1.txt 
to give,0.217675 Text_1.txt 
tomato based products,0.217675 Text_1.txt 
twenty percent lower,0.217675 Text_1.txt 
under,0.43535 Text_1.txt Text_3.txt 
vegetables and fruits,0.870701 Text_1.txt 
video,1.52373 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
was rich,0.217675 Text_1.txt 
were thirty,0.217675 Text_1.txt 
who averaged,0.217675 Text_1.txt 
widespread,0.217675 Text_1.txt Text_2.txt Text_3.txt 
women whose,0.217675 Text_1.txt 
you have to,0.217675 Text_1.txt Text_2.txt 
A more,0.217675 Text_1.txt 
Additionally,0.217675 Text_1.txt 
And,0.653026 Text_1.txt Text_3.txt 
Asheville,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Blood pressure The,0.217675 Text_1.txt 
California some,0.217675 Text_1.txt Text_2.txt 
Cardiovascular,0.217675 Text_1.txt 
Coast offshore,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
DASH study,0.217675 Text_1.txt 
Diabetes,0.217675 Text_1.txt 
Epic has,0.43535 Text_1.txt Text_2.txt Text_3.txt 
Finnish,0.217675 Text_1.txt 
Fortnite Her,0.217675 Text_1.txt Text_3.txt 
Fortnite on the,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Fruit,0.217675 Text_1.txt 
Glasgow,0.217675 Text_1.txt Text_2.txt 
Health Study,1.52373 Text_1.txt 
I remember years,0.217675 Text_1.txt Text_2.txt Text_4.txt 
Inc Some,0.217675 Text_1.txt Text_3.txt 
Ive,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
League Baseballs,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Make it a,0.217675 Text_1.txt 
Moreover,0.217675 Text_1.txt Text_2.txt 
Numerous,0.217675 Text_1.txt 
On most days,0.217675 Text_1.txt 
Over the course,0.217675 Text_1.txt Text_2.txt 
Professional,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Saginaw Michigan,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Some,0.653026 Text_1.txt Text_3.txt Text_4.txt 
Stop Hypertension,0.217675 Text_1.txt 
Swiss,0.217675 Text_1.txt 
The higher the,0.217675 Text_1.txt 
Tips to,0.217675 Text_1.txt 
United Kingdom,0.217675 Text_1.txt Text_2.txt 
Wakefield,0.217675 Text_1.txt Text_2.txt Text_3.txt 
World,0.870701 Text_1.txt Text_2.txt Text_3.txt 
a bowl or,0.217675 Text_1.txt 
a finding,0.217675 Text_1.txt 
a link,0.217675 Text_1.txt 
a more,0.217675 Text_1.txt Text_2.txt Text_3.txt 
a strong link,0.217675 Text_1.txt 
about eleven,0.217675 Text_1.txt 
achieve A randomised,0.217675 Text_1.txt 
addiction issue,0.217675 Text_1.txt Text_2.txt Text_3.txt 
adolescence and oranges,0.217675 Text_1.txt 
ages Farvid and,0.217675 Text_1.txt 
also,2.82978 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
an,3.26513 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
and colour,0.217675 Text_1.txt 
and fruits can,0.217675 Text_1.txt 
and sixty,0.217675 Text_1.txt 
and vegetables red,0.217675 Text_1.txt 
are key,0.217675 Text_1.txt 
as a,0.870701 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
astronauts,1.30605 Text_5.txt 
backdrop of broader,0.217675 Text_1.txt Text_2.txt Text_3.txt 
be a,0.653026 Text_1.txt Text_4.txt 
beans,0.217675 Text_1.txt 
been the topic,0.217675 Text_1.txt Text_2.txt 
between,1.30605 Text_1.txt Text_2.txt Text_5.txt 
blood sugar which,0.217675 Text_1.txt 
both,0.217675 Text_1.txt Text_2.txt 
breast cancer later,0.217675 Text_1.txt 
by about,0.217675 Text_1.txt 
can benefit,0.217675 Text_1.txt Text_2.txt 
can see it,0.217675 Text_1.txt 
cancer Specific,0.217675 Text_1.txt 
cancer in,0.217675 Text_1.txt 
canine friend,0.217675 Text_1.txt Text_2.txt 
cardiovascular disease with,0.217675 Text_1.txt 
cauliflower cabbage,0.217675 Text_1.txt 
chemicals but also,0.217675 Text_1.txt 
claims that at,0.217675 Text_1.txt Text_2.txt 
colleagues,0.43535 Text_1.txt 
coming,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
compared with individuals,0.217675 Text_1.txt 
consistently shown that,0.217675 Text_1.txt 
containing,0.43535 Text_1.txt 
cooking new,0.217675 Text_1.txt 
course,0.43535 Text_1.txt Text_2.txt 
criticism following,0.217675 Text_1.txt Text_3.txt 
cuteness or,0.217675 Text_1.txt Text_2.txt 
dark,0.217675 Text_1.txt 
day of fruit,0.217675 Text_1.txt 
deaths from,0.217675 Text_1.txt 
deprivation also,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
detriment,0.217675 Text_1.txt Text_2.txt Text_3.txt 
diabetes showed,0.217675 Text_1.txt 
diet rich in,0.653026 Text_1.txt 
dinner because,0.217675 Text_1.txt Text_2.txt Text_3.txt 
diversity,0.217675 Text_1.txt 
dog reduces,0.217675 Text_1.txt Text_2.txt 
dogs were,0.43535 Text_1.txt Text_2.txt 
dropped out of,0.217675 Text_1.txt Text_2.txt Text_3.txt 
easily,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
effect,0.870701 Text_1.txt 
eighty two,0.217675 Text_1.txt 
enjoying better,0.217675 Text_1.txt Text_2.txt 
esophagus and,0.217675 Text_1.txt 
estrogen,0.217675 Text_1.txt 
evidence that,0.217675 Text_1.txt 
exist,0.217675 Text_1.txt 
eye,0.870701 Text_1.txt Text_4.txt 
factors related,0.217675 Text_1.txt Text_2.txt 
fat dairy,0.217675 Text_1.txt 
fewer,0.43535 Text_1.txt Text_4.txt 
fifty,0.653026 Text_1.txt Text_2.txt Text_3.txt 
findings,0.43535 Text_1.txt Text_2.txt 
flatter ground,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
for,7.40096 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
for parents,0.217675 Text_1.txt Text_2.txt Text_3.txt 
found a,0.217675 Text_1.txt 
four premenopausal women,0.217675 Text_1.txt 
friends,0.217675 Text_1.txt Text_2.txt 
from each,0.217675 Text_1.txt 
fruits,6.96561 Text_1.txt 
fruits vegetables,0.217675 Text_1.txt 
games this,0.217675 Text_1.txt Text_2.txt Text_3.txt 
get unhooked,0.217675 Text_1.txt Text_2.txt Text_3.txt 
goods,0.217675 Text_1.txt Text_2.txt 
habits were,0.217675 Text_1.txt 
has,3.4828 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
have had a,0.217675 Text_1.txt 
he falls,0.217675 Text_1.txt Text_2.txt Text_3.txt 
help keep,0.217675 Text_1.txt 
historically,0.217675 Text_1.txt Text_2.txt 
how,0.870701 Text_1.txt Text_2.txt Text_4.txt 
hundreds,0.43535 Text_1.txt Text_3.txt 
in a bowl,0.217675 Text_1.txt 
in order to,0.217675 Text_1.txt 
increase,0.217675 Text_1.txt 
intake,2.17675 Text_1.txt 
intakes zero,0.217675 Text_1.txt 
into vitamin,0.217675 Text_1.txt 
is likely,0.217675 Text_1.txt Text_2.txt 
isnt an abundance,0.217675 Text_1.txt 
it difficult to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
itself,0.217675 Text_1.txt Text_2.txt 
juices at younger,0.217675 Text_1.txt 
just seemed to,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
key,0.217675 Text_1.txt 
largest and,0.217675 Text_1.txt 
legumes,0.217675 Text_1.txt 
lettuce,0.43535 Text_1.txt 
like apples pears,0.217675 Text_1.txt 
linked with,0.217675 Text_1.txt 
longest,0.217675 Text_1.txt 
looks,0.43535 Text_1.txt Text_5.txt 
low fat,0.217675 Text_1.txt 
lycopene,0.653026 Text_1.txt 
many scientific studies,0.217675 Text_1.txt Text_2.txt 
may,2.6121 Text_1.txt Text_2.txt Text_3.txt 
meals Vegetables fruits,0.217675 Text_1.txt 
million dogs,0.217675 Text_1.txt Text_2.txt 
months over the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
more reliable,0.217675 Text_1.txt 
much,1.08838 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
needs,0.217675 Text_1.txt 
non starchy vegetables,0.43535 Text_1.txt 
number,1.08838 Text_1.txt Text_4.txt 
of a diet,0.217675 Text_1.txt 
of cohort studies,0.43535 Text_1.txt 
of eye and,0.217675 Text_1.txt 
of heart,0.653026 Text_1.txt Text_2.txt 
of moderate,0.217675 Text_1.txt Text_2.txt 
of over,0.653026 Text_1.txt 
of research stemming,0.217675 Text_1.txt 
of the mouth,0.217675 Text_1.txt 
often hailed,0.217675 Text_1.txt Text_2.txt 
on the video,0.217675 Text_1.txt Text_2.txt Text_3.txt 
only ensures a,0.217675 Text_1.txt 
or orange,0.217675 Text_1.txt 
order,0.217675 Text_1.txt 
over a,0.43535 Text_1.txt 
packed,0.217675 Text_1.txt 
participants,0.43535 Text_1.txt Text_2.txt 
people,1.30605 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
percent,1.30605 Text_1.txt 
person s risk,0.217675 Text_1.txt Text_2.txt 
physically,0.217675 Text_1.txt Text_2.txt 
players,1.52373 Text_1.txt Text_2.txt Text_3.txt 
potatoes,0.43535 Text_1.txt 
prevent,0.870701 Text_1.txt 
products and that,0.217675 Text_1.txt 
protection,0.43535 Text_1.txt 
pup,0.217675 Text_1.txt Text_2.txt 
reading,0.217675 Text_1.txt 
recipes,0.217675 Text_1.txt 
reduced risk,0.870701 Text_1.txt 
regular bowel movements,0.217675 Text_1.txt 
report by,0.217675 Text_1.txt 
restricted the,0.217675 Text_1.txt 
risk After following,0.217675 Text_1.txt 
rival New,0.217675 Text_1.txt Text_2.txt Text_3.txt 
runs the,0.217675 Text_1.txt Text_2.txt Text_3.txt 
said about,0.217675 Text_1.txt Text_2.txt Text_3.txt 
scene Im,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
searching,0.217675 Text_1.txt Text_2.txt Text_3.txt 
seen a game,0.217675 Text_1.txt Text_2.txt Text_3.txt 
servings under,0.217675 Text_1.txt 
several types of,0.217675 Text_1.txt 
show that,0.217675 Text_1.txt 
sixty nine,0.217675 Text_1.txt 
so,1.30605 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
sometimes,0.43535 Text_1.txt Text_2.txt Text_3.txt 
space,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
specifically,0.217675 Text_1.txt 
sprouts bok choy,0.217675 Text_1.txt 
stemming,0.217675 Text_1.txt 
stroke prevent some,0.217675 Text_1.txt 
studies with,0.217675 Text_1.txt 
such as refined,0.217675 Text_1.txt 
suggests that,0.653026 Text_1.txt 
surge in,0.217675 Text_1.txt Text_3.txt 
tactics,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
tamed,0.217675 Text_1.txt Text_2.txt 
tear,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
ten thousand,0.217675 Text_1.txt 
than one point,0.217675 Text_1.txt 
thanks,0.43535 Text_1.txt Text_2.txt 
that can,0.217675 Text_1.txt 
that higher,0.217675 Text_1.txt 
that non,0.217675 Text_1.txt 
that this,0.217675 Text_1.txt 
the United,0.653026 Text_1.txt Text_2.txt 
the chances of,0.217675 Text_1.txt 
the intestinal,0.217675 Text_1.txt 
the past And,0.217675 Text_1.txt 
the upper number,0.217675 Text_1.txt 
these,1.30605 Text_1.txt Text_2.txt Text_4.txt 
thousand,3.70048 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
through the digestive,0.217675 Text_1.txt 
to date done,0.217675 Text_1.txt 
to name,0.217675 Text_1.txt Text_2.txt 
to this benefit,0.217675 Text_1.txt 
transducer,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
twelve,0.43535 Text_1.txt Text_3.txt 
two,3.04745 Text_1.txt Text_3.txt Text_5.txt 
types,0.870701 Text_1.txt 
unsaturated,0.217675 Text_1.txt 
variety,0.217675 Text_1.txt 
vegetables in your,0.217675 Text_1.txt 
vegetables yellow or,0.217675 Text_1.txt 
vigorous,0.217675 Text_1.txt Text_2.txt 
war if,0.217675 Text_1.txt Text_2.txt Text_3.txt 
weak,0.217675 Text_1.txt 
were followed for,0.217675 Text_1.txt 
where,1.08838 Text_1.txt Text_3.txt Text_4.txt 
while starchier,0.217675 Text_1.txt 
who own,0.217675 Text_1.txt Text_2.txt 
whom owned,0.43535 Text_1.txt Text_2.txt 
with,9.36003 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
with those,0.43535 Text_1.txt 
would be,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
you,3.70048 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
your,1.30605 Text_1.txt Text_2.txt Text_4.txt 
A higher,0.217675 Text_1.txt 
A report,0.217675 Text_1.txt 
Activity and,0.217675 Text_1.txt Text_2.txt 
After following one,0.217675 Text_1.txt 
American,0.43535 Text_1.txt Text_2.txt 
Animals,0.217675 Text_1.txt Text_2.txt 
April Dutch,0.217675 Text_1.txt Text_2.txt Text_3.txt 
At,0.217675 Text_1.txt 
Barbara,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Brussels,0.217675 Text_1.txt 
California,0.43535 Text_1.txt Text_2.txt Text_3.txt 
Cambridge,0.217675 Text_1.txt Text_2.txt 
Capital,0.217675 Text_1.txt Text_3.txt 
Cardiovascular disease There,0.217675 Text_1.txt 
Choose,0.217675 Text_1.txt 
Columbia and,0.217675 Text_1.txt Text_2.txt 
Cruciferous vegetables such,0.217675 Text_1.txt 
Dark Voyager,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Debbie,0.217675 Text_3.txt 
Dogs often,0.217675 Text_2.txt 
Eating non starchy,0.217675 Text_1.txt 
Europe and,0.217675 Text_1.txt 
Fern,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
Fitzroy River,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
For example,0.43535 Text_1.txt 
Fortnite first,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Fortnite is particularly,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Fortnite playing,0.217675 Text_1.txt Text_3.txt 
Fortnite wins,0.217675 Text_1.txt Text_3.txt 
Fruit probably also,0.217675 Text_1.txt 
Gastrointestinal,0.217675 Text_1.txt 
HER enriched,0.217675 Text_1.txt 
Health Professionals,1.30605 Text_1.txt 
Hg and their,0.217675 Text_1.txt 
I had,0.43535 Text_1.txt Text_2.txt Text_3.txt 
If,1.30605 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
In two,0.217675 Text_1.txt 
Individuals who ate,0.217675 Text_1.txt 
It is unclear,0.217675 Text_1.txt Text_2.txt 
Journal of,0.217675 Text_1.txt Text_2.txt 
Kulman a,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Lorrine Marer,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Macronutrient Intake,0.217675 Text_1.txt 
Marer a British,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Missouri in Columbia,0.217675 Text_1.txt Text_2.txt 
Nannies,0.217675 Text_1.txt Text_4.txt 
No,0.217675 Text_1.txt 
Nurses Health Studies,0.217675 Text_1.txt 
On,0.653026 Text_1.txt Text_3.txt Text_5.txt 
One of,0.217675 Text_1.txt 
Organisation recommendations,0.217675 Text_1.txt Text_2.txt 
Perkins,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Prevention of,0.217675 Text_1.txt Text_2.txt 
Professionals Study,0.217675 Text_1.txt 
Reset Summer,0.217675 Text_1.txt Text_2.txt Text_3.txt 
September two thousand,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Society for the,0.217675 Text_1.txt Text_2.txt 
Some research,0.217675 Text_1.txt 
States,0.43535 Text_1.txt Text_2.txt 
Study I and,0.217675 Text_1.txt 
Study men and,0.217675 Text_1.txt 
Teachers complain he,0.217675 Text_1.txt Text_2.txt Text_3.txt 
The bulking,0.217675 Text_1.txt 
The researchers,0.217675 Text_1.txt 
This,0.653026 Text_1.txt Text_3.txt 
Treatment involves,0.217675 Text_1.txt Text_2.txt Text_3.txt 
UK,0.217675 Text_1.txt Text_2.txt Text_3.txt 
University of,0.43535 Text_1.txt Text_2.txt 
Vitany is fighting,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Weight,0.217675 Text_1.txt 
While there,0.217675 Text_1.txt 
World Series winning,0.217675 Text_1.txt Text_2.txt Text_3.txt 
a billion dollar,0.217675 Text_1.txt Text_2.txt Text_3.txt 
a day,1.30605 Text_1.txt Text_3.txt 
